Date,Count,SessionTime,WPM,UniqueKeys,KeyStats
2025-10-28,188,0.0,0.0,24,"{""left"": 5, ""shift_r"": 2, ""\"""": 2, ""f"": 3, ""o"": 6, ""d"": 16, ""backspace"": 11, ""num_lock"": 1, ""down"": 17, ""alt"": 9, ""enter"": 15, ""delete"": 4, ""shift"": 10, ""8"": 1, ""1"": 2, "","": 15, ""space"": 16, ""0"": 17, ""right"": 3, ""up"": 6, ""a"": 12, ""s"": 10, ""`"": 2, ""esc"": 3}"
2025-10-30,420,58.49,86.16,28,"{""a"": 66, ""s"": 44, ""d"": 52, ""backspace"": 34, ""j"": 54, ""h"": 37, ""k"": 31, ""g"": 14, ""1"": 2, ""i"": 6, ""u"": 3, ""q"": 2, ""w"": 1, ""<65329>"": 9, ""num_lock"": 1, ""ctrl"": 9, ""r"": 4, ""e"": 2, ""f"": 17, ""b"": 10, ""o"": 3, ""l"": 8, ""n"": 2, ""c"": 1, ""0"": 2, ""9"": 1, ""esc"": 1, ""p"": 4}"
