Date,Count
2024-12-12,14246
2024-12-13,19144
2024-12-14,18096
2024-12-15,24999
2024-12-16,23141
2024-12-17,11124
2024-12-18,17990
2024-12-19,16264
2024-12-20,26382
2024-12-22,21714
2024-12-23,17831
2024-12-24,16661
2025-01-05,15513
2025-01-06,19499
2025-01-08,15063
